houseID,title,link,community,years,housetype,square,direction,floor,taxtype,totalPrice,unitPrice,followInfo,decoration,validdate,coor_x,y
101103059422,南二环外，东城区，2002年社区，大两居,https://bj.lianjia.com/ershoufang/101103059422.html,天天家园 ,高楼层(共11层)/2002年建板塔结合/永定门,2室1厅,112.12平米,东北,高楼层(共11层)/2002年建板塔结合/永定门,房本满五年,700,62434,430人关注/18次带看近地铁房本满五年随时看房700万单价62434元/平米,简装,2018-11-03 15:10:35.497955,"116.300183,40.144352"
101103180973,东花市大街2号院南北通透3居室，不临街,https://bj.lianjia.com/ershoufang/101103180973.html,东花市大街2号院 ,顶层(共6层)/1980年建板楼/东花市,3室1厅,68.68平米,南 北,顶层(共6层)/1980年建板楼/东花市,房本满五年,604,87945,299人关注/19次带看近地铁房本满五年随时看房604万单价87945元/平米,精装,2018-11-03 15:10:35.498041,"116.438358,39.897425"
101103167375,花园式小区封闭式管理有地下停车场,https://bj.lianjia.com/ershoufang/101103167375.html,和平里东街10号院 ,低楼层(共13层)/2004年建板楼/和平里,2室1厅,118.46平米,南 北,低楼层(共13层)/2004年建板楼/和平里,房本满五年,1250,105521,113人关注/16次带看近地铁房本满五年1250万单价105521元/平米,精装,2018-11-03 15:10:35.498126,"116.425566,39.958172"
101103003213,东二环海晟名苑 全新四居室 南北通透 拎包入住,https://bj.lianjia.com/ershoufang/101103003213.html,海晟名苑南区 ,中楼层(共17层)/2004年建板楼/工体,4室2厅,237.74平米,南 北,中楼层(共17层)/2004年建板楼/工体,房本满五年,3200,134601,113人关注/4次带看近地铁房本满五年随时看房3200万单价134601元/平米,精装,2018-11-03 15:10:35.498208,"116.441909,39.937691"
101102371290,骑河楼 满五年唯一 总价低位置好 正对公园景观好,https://bj.lianjia.com/ershoufang/101102371290.html,骑河楼大街 ,中楼层(共6层)/1987年建板楼/灯市口,1室1厅,41.31平米,东,中楼层(共6层)/1987年建板楼/灯市口,房本满五年,496,120068,213人关注/9次带看房本满五年随时看房496万单价120068元/平米,精装,2018-11-03 15:10:35.498301,"116.405060,39.919681"
101102984654,白桥大街，格局方正三居，视野开阔，诚心出售。,https://bj.lianjia.com/ershoufang/101102984654.html,白桥大街 ,顶层(共6层)/1980年建板楼/东花市,3室1厅,70.51平米,东 西,顶层(共6层)/1980年建板楼/东花市,房本满五年,558,79138,102人关注/9次带看近地铁房本满五年随时看房558万单价79138元/平米,精装,2018-11-03 15:10:35.500015,"116.439172,39.897044"
101103130126,南北通透 三居室  单独小院管理  精装修 诚心出售,https://bj.lianjia.com/ershoufang/101103130126.html,安外西河沿 ,顶层(共6层)/1983年建板楼/安定门,3室1厅,75.73平米,东南 北,顶层(共6层)/1983年建板楼/安定门,房本满五年,620,81870,134人关注/10次带看房本满五年随时看房620万单价81870元/平米,精装,2018-11-03 15:10:35.500106,"116.405332,39.950842"
101103153506,东城区2000年新小区 东向二居 满五唯一,https://bj.lianjia.com/ershoufang/101103153506.html,西革新里112号院 ,中楼层(共19层)/2001年建塔楼/永定门,2室1厅,71.47平米,东,中楼层(共19层)/2001年建塔楼/永定门,房本满五年,460,64363,117人关注/10次带看近地铁房本满五年随时看房460万单价64363元/平米,简装,2018-11-03 15:10:35.500188,"116.388665,39.865900"
101101551081,户型正，客厅面宽宽，带车位，看房随时,https://bj.lianjia.com/ershoufang/101101551081.html,本家润园一期 ,中楼层(共11层)/2005年建板楼/东花市,3室2厅,146.33平米,南 北,中楼层(共11层)/2005年建板楼/东花市,房本满五年,1650,112759,328人关注/17次带看近地铁房本满五年随时看房1650万单价112759元/平米,简装,2018-11-03 15:10:35.500274,"116.436810,39.896802"
101102892875,华冠丽景 3室1厅 2236.92万,https://bj.lianjia.com/ershoufang/101102892875.html,华冠丽景 ,中楼层(共7层)/2003年建板楼/东直门,3室1厅,174.76平米,南 北,中楼层(共7层)/2003年建板楼/东直门,房本满五年,2237,128000,40人关注/16次带看房本满五年随时看房2237万单价128000元/平米,精装,2018-11-03 15:10:35.500360,"116.426481,39.945714"
101102943024,国瑞城东向两居室，满五年家庭一套住房。,https://bj.lianjia.com/ershoufang/101102943024.html,国瑞城东区 ,中楼层(共16层)/2006年建板塔结合/崇文门,2室1厅,75.3平米,东,中楼层(共16层)/2006年建板塔结合/崇文门,房本满五年,680,90306,83人关注/34次带看近地铁房本满五年随时看房680万单价90306元/平米,简装,2018-11-03 15:10:35.500444,"116.425803,39.898225"
101103070116,品质社区 婚房装修 正对花园 客厅挂东窗 带露台,https://bj.lianjia.com/ershoufang/101103070116.html,富贵园一区 ,低楼层(共9层)/2004年建板楼/东花市,2室1厅,87.62平米,南 北,低楼层(共9层)/2004年建板楼/东花市,房本满五年,1030,117554,171人关注/42次带看近地铁房本满两年随时看房1030万单价117554元/平米,精装,2018-11-03 15:10:35.500532,"116.433297,39.896518"
101103603082,业主购买满五年名下只有一套住宅 复式东西向房源,https://bj.lianjia.com/ershoufang/101103603082.html,东中街 ,低楼层(共9层)/1999年建板塔结合/东直门,2室2厅,134.72平米,东 西,低楼层(共9层)/1999年建板塔结合/东直门,房本满五年,1080,80167,14人关注/4次带看房本满五年1080万单价80167元/平米,精装,2018-11-03 15:10:35.500619,"116.437136,39.938395"
101102148025,婚房装修三居室-封闭式社区管理-安全高品质社区,https://bj.lianjia.com/ershoufang/101102148025.html,和平里六区 ,高楼层(共17层)/1998年建塔楼/和平里,3室1厅,121.73平米,西南 北,高楼层(共17层)/1998年建塔楼/和平里,房本满五年,1230,101044,134人关注/24次带看近地铁房本满五年随时看房1230万单价101044元/平米,其他,2018-11-03 15:10:35.500706,"116.424394,39.955992"
101102945526,东城区 长青园 南北通透两居 业主诚心出售,https://bj.lianjia.com/ershoufang/101102945526.html,长青园 ,底层(共6层)/1988年建板楼/左安门,2室1厅,57.73平米,南 北,底层(共6层)/1988年建板楼/左安门,房本满五年,470,81414,130人关注/22次带看近地铁房本满五年随时看房470万单价81414元/平米,简装,2018-11-03 15:10:35.500789,"116.425077,39.875545"
